,0
1970-01-01 00:00:00.000000096,3.0
1970-01-01 00:00:00.000000215,10.0
1970-01-01 00:00:00.000000249,10.0
1970-01-01 00:00:00.000000345,10.0
1970-01-01 00:00:00.000000357,10.0
1970-01-01 00:00:00.000000359,10.0
1970-01-01 00:00:00.000000369,10.0
1970-01-01 00:00:00.000000371,10.0
1970-01-01 00:00:00.000000409,10.0
1970-01-01 00:00:00.000000422,10.0
1970-01-01 00:00:00.000000442,10.0
1970-01-01 00:00:00.000000446,9.0
1970-01-01 00:00:00.000000469,10.0
1970-01-01 00:00:00.000000493,10.0
1970-01-01 00:00:00.000000562,10.0
1970-01-01 00:00:00.000000573,10.0
1970-01-01 00:00:00.000000620,10.0
